,country,directors,Country,Latitude,Longitude,Name
0,United States of America,113,US,37.09024,-95.712891,United States of America
1,United Kingdom,47,GB,55.378051,-3.435973,United Kingdom
2,France,31,FR,46.227638,2.213749,France
3,Italy,13,IT,41.87194,12.56738,Italy
4,India,11,IN,20.593684,78.96288,India
5,Germany,10,DE,51.165690999999995,10.451526,Germany
6,Japan,9,JP,36.204824,138.252924,Japan
7,China,9,CN,35.86166,104.195397,China
8,Canada,9,CA,56.130366,-106.34677099999999,Canada
9,Israel,8,IL,31.046051000000002,34.851612,Israel
10,South Korea,7,KR,35.907757000000004,127.766922,South Korea
11,Argentina,6,AR,-38.416097,-63.616671999999994,Argentina
12,Austria,6,AT,47.516231,14.550072,Austria
13,Australia,6,AU,-25.274398,133.775136,Australia
14,Iran,6,IR,32.427908,53.68804599999999,Iran
15,Portugal,5,PT,39.399871999999995,-8.224454,Portugal
16,New Zealand,5,NZ,-40.900557,174.88597099999998,New Zealand
17,Sweden,5,SE,60.128161,18.643501,Sweden
18,Spain,5,ES,40.463667,-3.7492199999999998,Spain
19,Mexico,4,MX,23.634501,-102.552784,Mexico
20,South Africa,4,ZA,-30.559482,22.937506,South Africa
21,Denmark,4,DK,56.26392,9.501785,Denmark
22,Belgium,4,BE,50.503887,4.469936,Belgium
23,Poland,4,PL,51.919438,19.145135999999997,Poland
24,Russia,4,RU,61.52401,105.31875600000001,Russia
25,Romania,3,RO,45.943160999999996,24.96676,Romania
26,Nigeria,3,NG,9.081999,8.675277000000001,Nigeria
27,Lebanon,3,LB,33.854721000000005,35.862285,Lebanon
28,Chile,3,CL,-35.675146999999996,-71.542969,Chile
29,Syria,2,SY,34.802075,38.996815000000005,Syria
30,Finland,2,FI,61.92411,25.748151,Finland
31,Kenya,2,KE,-0.023559,37.906193,Kenya
32,Tunisia,2,TN,33.886917,9.537499,Tunisia
33,Brazil,2,BR,-14.235004,-51.92528,Brazil
34,Mauritania,1,MR,21.00789,-10.940835,Mauritania
35,Hungary,1,HU,47.162494,19.503304,Hungary
36,Philippines,1,PH,12.879721,121.77401699999999,Philippines
37,Egypt,1,EG,26.820553000000004,30.802497999999996,Egypt
38,Uganda,1,UG,1.373333,32.290275,Uganda
39,Lithuania,1,LT,55.169438,23.881275,Lithuania
40,Haiti,1,HT,18.971187,-72.28521500000001,Haiti
41,Cameroon,1,CM,7.369722,12.354722,Cameroon
42,Senegal,1,SN,14.497401000000002,-14.452361999999999,Senegal
43,Chad,1,TD,15.454166,18.732207,Chad
44,Thailand,1,TH,15.870032,100.992541,Thailand
45,Puerto Rico,1,PR,18.220833,-66.590149,Puerto Rico
46,Colombia,1,CO,4.570868,-74.297333,Colombia
47,Ghana,1,GH,7.946527000000001,-1.0231940000000002,Ghana
48,State of Palestine,1,Palestine,31.898043,35.204269,State of Palestine
49,Taiwan,1,TW,23.69781,120.96051499999999,Taiwan
50,Ecuador,1,EC,-1.8312389999999998,-78.183406,Ecuador
51,Turkey,1,TR,38.963745,35.243322,Turkey
52,Bosnia and Herzegovina,1,BA,43.915886,17.679076000000002,Bosnia and Herzegovina
53,Greece,1,GR,39.074208,21.824312,Greece
