country,GDP per capita,parliament seats
Afghanistan,596.257638538373,27.7
Albania,4711.98660680542,22.9
Algeria,4846.41824654373,31.6
Angola,3606.64449191561,36.8
Antigua and Barbuda,13158.9684451245,11.1
Argentina,10148.5101468259,35.8
Armenia,3924.93338727309,10.7
Australia,55670.924142592,28.7
Austria,47703.9148934634,30.6
Azerbaijan,5858.83286635795,16.8
"Bahamas, The",20568.3151503882,13.2
Bangladesh,1029.57821239239,20
Barbados,16157.4338192338,16.7
Belarus,6218.73994290843,34.5
Belgium,45308.2396090111,39.3
Belize,4319.98840584063,3.1
Benin,837.341956405278,7.2
Bhutan,2751.21290269705,8.5
Bolivia,2457.62596155017,53.1
Bosnia and Herzegovina,5305.56239903759,21.4
Botswana,7383.32518609924,9.5
Brazil,10826.2714348298,9.9
Brunei Darussalam,31430.9626624001,6.5
Bulgaria,7929.49280378138,20.4
Burkina Faso,644.023936652115,9.4
Burundi,218.283528373813,36.4
Cabo Verde,3452.9462124976,23.6
Cambodia,1078.40206286946,20.3
Cameroon,1357.06728947444,31.1
Canada,50231.885198923,26
Central African Republic,325.720291783207,7.2
Chad,859.648571526289,14.9
Chile,15019.6339466973,15.8
China,6894.46437278622,23.6
Colombia,7525.85546844685,19.9
Comoros,768.438960076081,3
"Congo, Dem. Rep.",387.444107200257,8.9
"Congo, Rep.",2798.06562403769,7.4
Costa Rica,9714.09989691182,33.3
Cote d'Ivoire,1563.37070188002,9.2
Croatia,14372.0658276979,12.6
Cyprus,28325.437516627,17.9
Czech Republic,21707.4912408212,20
Denmark,60268.2330712586,37.4
Dominica,6896.51700426502,21.9
Dominican Republic,6909.12954434948,26.8
Ecuador,5210.11111878562,41.6
"Egypt, Arab Rep.",2724.39680691031,14.9
El Salvador,3802.85965518617,32.1
Equatorial Guinea,12028.564130166,24
Estonia,17853.4027566865,23.8
Ethiopia,511.187426515801,38.8
Fiji,4402.345582237,16
Finland,45709.0783686972,41.5
France,42013.2862913497,26.2
Gabon,9569.45412294688,14.2
"Gambia, The",532.275700821282,9.4
Georgia,4079.8303056838,
Germany,45551.5139687187,36.5
Ghana,1707.66162367907,10.9
Greece,22736.4554990232,19.7
Grenada,8507.60915037382,33.3
Guatemala,3100.20621005039,13.9
Guinea,446.313463761121,21.9
Guinea-Bissau,572.431053710926,13.7
Guyana,3758.72107347275,30.4
Haiti,729.2684423618,0
Honduras,2137.80822009452,25.8
"Hong Kong SAR, China",36725.6491122721,
Hungary,14840.3868745426,10.1
Iceland,48613.8871550721,47.6
India,1861.49102935297,12
Indonesia,3974.05848500117,17.1
Iraq,5695.67914250609,26.5
Ireland,66787.1394796332,22.2
Israel,33783.0032202198,26.7
Italy,34283.7049853871,31
Jamaica,4796.0345145866,17.5
Japan,47607.6715427123,9.5
Jordan,3258.48036617162,15.4
Kazakhstan,10570.4648428356,27.1
Kenya,1143.06537340126,19.7
Kiribati,1636.54359718466,6.5
"Korea, Rep.",25458.8870089242,17
Kosovo,3890.06809615023,
Kyrgyz Republic,1038.30795947006,19.2
Lao PDR,1642.74851534273,27.5
Latvia,14714.6694217966,18
Lebanon,6983.67434479264,3.1
Lesotho,1387.46026116584,25
Liberia,352.646078449267,11
Lithuania,15872.7227865275,21.3
Luxembourg,111000.960314264,28.3
"Macao SAR, China",51511.4402022614,
"Macedonia, FYR",5222.82674665098,33.3
Madagascar,415.830593381499,20.5
Malawi,481.526911035089,16.7
Malaysia,11028.1881736168,10.4
Maldives,7367.11118450414,5.9
Mali,742.694531572394,8.8
Malta,26577.4541081053,12.9
Marshall Islands,3437.41863593221,9.1
Mauritania,1296.00747091683,25.2
Mauritius,9812.54569940449,11.6
Mexico,9707.13614802844,42.4
"Micronesia, Fed. Sts.",2833.19667615746,0
Moldova,2062.6817875778,21.8
Mongolia,3894.93127069539,17.1
Montenegro,7455.33258550466,23.5
Morocco,3196.04028048802,20.5
Mozambique,515.387281654551,39.6
Myanmar,1420.48538249714,9.9
Namibia,6020.90221080586,41.3
Nauru,9650.56810322958,5.3
Nepal,682.157819854679,29.6
Netherlands,52111.4667619301,37.3
New Zealand,36842.0424462028,31.4
Nicaragua,1946.37340677005,41.3
Niger,387.935612396395,14.6
Nigeria,2457.81104858493,5.6
Norway,89818.3224894546,39.6
Pakistan,1181.59810758647,20.6
Palau,10312.5843184784,0
Panama,10982.3730512324,18.3
Paraguay,3928.31883459033,15
Peru,6089.40346827584,27.7
Philippines,2753.34995067871,29.8
Poland,15048.9795118312,27.4
Portugal,22347.0261778445,34.8
Qatar,66415.3441419127,0
Romania,10080.9657303485,13.7
Russian Federation,11099.17305721,12.7
Rwanda,738.639110626819,63.8
Samoa,3761.91268587514,10
Sao Tome and Principe,1280.24619684432,18.2
Saudi Arabia,21395.3597799504,19.9
Senegal,1093.40539858564,42.7
Serbia,5852.08270919148,34
Seychelles,13963.5916450155,21.2
Sierra Leone,454.602647281602,12.4
Singapore,52600.6412258486,23.8
Slovak Republic,19237.9489203815,20
Slovenia,24356.9440128478,36.7
Solomon Islands,1479.3432030439,2
South Africa,7504.29525014765,41.8
Spain,31449.5478647609,39.1
Sri Lanka,3759.22963897692,5.8
St. Kitts and Nevis,15833.0203216842,13.3
St. Lucia,7104.10993981011,16.7
St. Vincent and the Grenadines,6761.57214221539,13
Sudan,1923.4226201404,30.5
Suriname,7661.79331560008,25.5
Swaziland,3911.40460259273,6.2
Sweden,56319.0453361936,43.6
Switzerland,75725.6506689371,32
Tajikistan,968.385602564592,19
Tanzania,866.95440122464,36.6
Thailand,5901.42563680198,6.1
Togo,558.118723194939,17.6
Tonga,3795.71587064426,0
Trinidad and Tobago,15786.2887339462,31
Tunisia,4265.37198811308,31.3
Turkey,14071.1743584766,14.9
Turkmenistan,6986.8559463882,25.8
Tuvalu,3402.72177111726,6.7
Uganda,662.109896136983,33.5
Ukraine,2905.85744034369,12
United Arab Emirates,40864.2498465529,22.5
United Kingdom,41602.9818117321,29.6
United States,52194.8857623275,19.4
Uruguay,14009.9984403322,16.2
Uzbekistan,1961.46369815488,16
Vanuatu,2873.69293665534,0
Vietnam,1770.25790638086,26.7
West Bank and Gaza,2570.67572251072,
"Yemen, Rep.",679.667360030094,0
Zambia,1622.40995813479,18
Zimbabwe,908.829979754807,31.5
