,CANADIAN PRIVATE TECH COMPANIES,Date,Score
0,Wealthsimple,August 18,31
1,Ritual,August 18,21
2,ElementAI,August 18,25
3,Thalmic Labs,August 18,22
4,Wattpad,August 18,22
5,Hootsuite,August 18,8
6,Lightspeed,August 18,9
7,Breather,August 18,12
8,Coinsquare,August 18,2
9,Article,August 18,2
10,Kik,August 18,-5
11,Wealthsimple,September 18,23
12,Ritual,September 18,22
13,ElementAI,September 18,25
14,Thalmic Labs,September 18,15
15,Wattpad,September 18,13
16,Hootsuite,September 18,3
17,Lightspeed,September 18,8
18,Breather,September 18,2
19,Coinsquare,September 18,-3
20,Article,September 18,4
21,Kik,September 18,-7
